xy,danger,danger_rank,center,위도,경도
"['128.35777026303165', '36.119305049637184', '128.3575476852656', '36.11991518488525']",41.28,4,"[36.11961011726122, 128.35765897414862]",36.11961011726122,128.35765897414862
"['128.35798328411445', '36.118595390366394', '128.35777026303165', '36.119305049637184']",61.71,4,"[36.11895022000179, 128.35787677357305]",36.11895022000179,128.35787677357305
"['129.0989667166612', '35.25161020077286', '129.09986523827828', '35.25325464830046']",25.0,4,"[35.252432424536664, 129.09941597746973]",35.252432424536664,129.09941597746973
"['129.09290209748463', '35.24615867384658', '129.09314102797725', '35.24634378285471']",25.2,4,"[35.246251228350644, 129.09302156273094]",35.246251228350644,129.09302156273094
"['129.09301374957286', '35.24646283454934', '129.0928186086435', '35.24624486052177']",38.18,4,"[35.24635384753556, 129.0929161791082]",35.24635384753556,129.0929161791082
"['129.09314102797725', '35.24634378285471', '129.09354238572848', '35.24671076496498']",54.55,4,"[35.24652727390985, 129.09334170685287]",35.24652727390985,129.09334170685287
"['129.0933920605325', '35.246828832600016', '129.09301374957286', '35.24646283454934']",98.97,4,"[35.246645833574675, 129.0932029050527]",35.246645833574675,129.0932029050527
"['129.09859572840458', '35.2506616226055', '129.0989667166612', '35.25161020077286']",5.23,3,"[35.251135911689175, 129.0987812225329]",35.251135911689175,129.0987812225329
"['129.0989667166612', '35.25161020077286', '129.09986523827828', '35.25325464830046']",25.0,4,"[35.252432424536664, 129.09941597746973]",35.252432424536664,129.09941597746973
"['129.09290209748463', '35.24615867384658', '129.09314102797725', '35.24634378285471']",27.52,4,"[35.246251228350644, 129.09302156273094]",35.246251228350644,129.09302156273094
"['129.09301374957286', '35.24646283454934', '129.0928186086435', '35.24624486052177']",41.71,4,"[35.24635384753556, 129.0929161791082]",35.24635384753556,129.0929161791082
"['129.09314102797725', '35.24634378285471', '129.09354238572848', '35.24671076496498']",59.59,4,"[35.24652727390985, 129.09334170685287]",35.24652727390985,129.09334170685287
"['129.0933920605325', '35.246828832600016', '129.09301374957286', '35.24646283454934']",108.11,4,"[35.246645833574675, 129.0932029050527]",35.246645833574675,129.0932029050527
"['129.0989667166612', '35.25161020077286', '129.09986523827828', '35.25325464830046']",25.0,4,"[35.252432424536664, 129.09941597746973]",35.252432424536664,129.09941597746973
"['129.09290209748463', '35.24615867384658', '129.09314102797725', '35.24634378285471']",27.48,4,"[35.246251228350644, 129.09302156273094]",35.246251228350644,129.09302156273094
"['129.09301374957286', '35.24646283454934', '129.0928186086435', '35.24624486052177']",41.64,4,"[35.24635384753556, 129.0929161791082]",35.24635384753556,129.0929161791082
"['129.09314102797725', '35.24634378285471', '129.09354238572848', '35.24671076496498']",59.48,4,"[35.24652727390985, 129.09334170685287]",35.24652727390985,129.09334170685287
"['129.0933920605325', '35.246828832600016', '129.09301374957286', '35.24646283454934']",107.92,4,"[35.246645833574675, 129.0932029050527]",35.246645833574675,129.0932029050527
"['129.09859572840458', '35.2506616226055', '129.0989667166612', '35.25161020077286']",5.23,3,"[35.251135911689175, 129.0987812225329]",35.251135911689175,129.0987812225329
"['129.09290209748463', '35.24615867384658', '129.09314102797725', '35.24634378285471']",24.79,4,"[35.246251228350644, 129.09302156273094]",35.246251228350644,129.09302156273094
"['129.0989667166612', '35.25161020077286', '129.09986523827828', '35.25325464830046']",25.0,4,"[35.252432424536664, 129.09941597746973]",35.252432424536664,129.09941597746973
"['129.09301374957286', '35.24646283454934', '129.0928186086435', '35.24624486052177']",37.56,4,"[35.24635384753556, 129.0929161791082]",35.24635384753556,129.0929161791082
"['129.09314102797725', '35.24634378285471', '129.09354238572848', '35.24671076496498']",53.66,4,"[35.24652727390985, 129.09334170685287]",35.24652727390985,129.09334170685287
"['129.0933920605325', '35.246828832600016', '129.09301374957286', '35.24646283454934']",97.37,4,"[35.246645833574675, 129.0932029050527]",35.246645833574675,129.0932029050527
"['127.73411938293721', '36.27313287880442', '127.73624326361572', '36.27259176281165']",8.75,3,"[36.27286232080803, 127.73518132327646]",36.27286232080803,127.73518132327646
"['127.82204909387849', '36.27330007472566', '127.82423080250786', '36.27294008328905']",8.75,3,"[36.273120079007356, 127.82313994819317]",36.273120079007356,127.82313994819317
"['127.7999274264275', '36.28077516357467', '127.80198297556169', '36.280084193421835']",28.09,4,"[36.28042967849825, 127.8009552009946]",36.28042967849825,127.8009552009946
"['127.73411938293721', '36.27313287880442', '127.73624326361572', '36.27259176281165']",8.75,3,"[36.27286232080803, 127.73518132327646]",36.27286232080803,127.73518132327646
"['127.82204909387849', '36.27330007472566', '127.82423080250786', '36.27294008328905']",8.75,3,"[36.273120079007356, 127.82313994819317]",36.273120079007356,127.82313994819317
"['127.7999274264275', '36.28077516357467', '127.80198297556169', '36.280084193421835']",28.09,4,"[36.28042967849825, 127.8009552009946]",36.28042967849825,127.8009552009946
"['127.73411938293721', '36.27313287880442', '127.73624326361572', '36.27259176281165']",8.75,3,"[36.27286232080803, 127.73518132327646]",36.27286232080803,127.73518132327646
"['127.82204909387849', '36.27330007472566', '127.82423080250786', '36.27294008328905']",8.75,3,"[36.273120079007356, 127.82313994819317]",36.273120079007356,127.82313994819317
"['127.7999274264275', '36.28077516357467', '127.80198297556169', '36.280084193421835']",28.09,4,"[36.28042967849825, 127.8009552009946]",36.28042967849825,127.8009552009946
"['127.73411938293721', '36.27313287880442', '127.73624326361572', '36.27259176281165']",8.75,4,"[36.27286232080803, 127.73518132327646]",36.27286232080803,127.73518132327646
"['127.82204909387849', '36.27330007472566', '127.82423080250786', '36.27294008328905']",8.75,4,"[36.273120079007356, 127.82313994819317]",36.273120079007356,127.82313994819317
"['127.7999274264275', '36.28077516357467', '127.80198297556169', '36.280084193421835']",28.09,4,"[36.28042967849825, 127.8009552009946]",36.28042967849825,127.8009552009946
"['127.08239639935627', '37.41781260028362', '127.08381648520923', '37.416410144541956']",17.86,4,"[37.41711137241279, 127.08310644228274]",37.41711137241279,127.08310644228274
"['127.08239639935627', '37.41781260028362', '127.08381648520923', '37.416410144541956']",17.86,4,"[37.41711137241279, 127.08310644228274]",37.41711137241279,127.08310644228274
"['127.08239639935627', '37.41781260028362', '127.08381648520923', '37.416410144541956']",17.86,4,"[37.41711137241279, 127.08310644228274]",37.41711137241279,127.08310644228274
"['127.08239639935627', '37.41781260028362', '127.08381648520923', '37.416410144541956']",17.86,4,"[37.41711137241279, 127.08310644228274]",37.41711137241279,127.08310644228274
"['127.05981360027963', '37.4410965887824', '127.05869297934757', '37.44266228835761']",8.11,3,"[37.441879438570005, 127.0592532898136]",37.441879438570005,127.0592532898136
"['127.06093424911614', '37.4395309122884', '127.05981360027963', '37.4410965887824']",8.63,3,"[37.440313750535395, 127.06037392469788]",37.440313750535395,127.06037392469788
"['127.05222611591425', '37.45043838468464', '127.05089474642897', '37.45189548908619']",25.55,4,"[37.451166936885414, 127.05156043117161]",37.451166936885414,127.05156043117161
"['127.05511649854245', '37.44725210745546', '127.0535513301816', '37.448977732886384']",58.3,4,"[37.44811492017092, 127.05433391436202]",37.44811492017092,127.05433391436202
"['127.0495633251539', '37.4533525777936', '127.04823185208443', '37.454809650804535']",137.94,4,"[37.45408111429907, 127.04889758861916]",37.45408111429907,127.04889758861916
"['127.0535513301816', '37.448977732886384', '127.05222611591425', '37.45043838468464']",5.88,3,"[37.44970805878551, 127.05288872304793]",37.44970805878551,127.05288872304793
"['127.05981360027963', '37.4410965887824', '127.05869297934757', '37.44266228835761']",8.11,3,"[37.441879438570005, 127.0592532898136]",37.441879438570005,127.0592532898136
"['127.06093424911614', '37.4395309122884', '127.05981360027963', '37.4410965887824']",9.42,3,"[37.440313750535395, 127.06037392469788]",37.440313750535395,127.06037392469788
"['127.05222611591425', '37.45043838468464', '127.05089474642897', '37.45189548908619']",27.91,4,"[37.451166936885414, 127.05156043117161]",37.451166936885414,127.05156043117161
"['127.05511649854245', '37.44725210745546', '127.0535513301816', '37.448977732886384']",63.68,4,"[37.44811492017092, 127.05433391436202]",37.44811492017092,127.05433391436202
"['127.0495633251539', '37.4533525777936', '127.04823185208443', '37.454809650804535']",150.68,4,"[37.45408111429907, 127.04889758861916]",37.45408111429907,127.04889758861916
"['127.05981360027963', '37.4410965887824', '127.05869297934757', '37.44266228835761']",8.11,3,"[37.441879438570005, 127.0592532898136]",37.441879438570005,127.0592532898136
"['127.06093424911614', '37.4395309122884', '127.05981360027963', '37.4410965887824']",9.41,3,"[37.440313750535395, 127.06037392469788]",37.440313750535395,127.06037392469788
"['127.05222611591425', '37.45043838468464', '127.05089474642897', '37.45189548908619']",27.86,4,"[37.451166936885414, 127.05156043117161]",37.451166936885414,127.05156043117161
"['127.05511649854245', '37.44725210745546', '127.0535513301816', '37.448977732886384']",63.57,4,"[37.44811492017092, 127.05433391436202]",37.44811492017092,127.05433391436202
"['127.0495633251539', '37.4533525777936', '127.04823185208443', '37.454809650804535']",150.42,4,"[37.45408111429907, 127.04889758861916]",37.45408111429907,127.04889758861916
"['127.0535513301816', '37.448977732886384', '127.05222611591425', '37.45043838468464']",5.29,3,"[37.44970805878551, 127.05288872304793]",37.44970805878551,127.05288872304793
"['127.05981360027963', '37.4410965887824', '127.05869297934757', '37.44266228835761']",8.11,4,"[37.441879438570005, 127.0592532898136]",37.441879438570005,127.0592532898136
"['127.06093424911614', '37.4395309122884', '127.05981360027963', '37.4410965887824']",8.49,4,"[37.440313750535395, 127.06037392469788]",37.440313750535395,127.06037392469788
"['127.05222611591425', '37.45043838468464', '127.05089474642897', '37.45189548908619']",25.14,4,"[37.451166936885414, 127.05156043117161]",37.451166936885414,127.05156043117161
"['127.05511649854245', '37.44725210745546', '127.0535513301816', '37.448977732886384']",57.35,4,"[37.44811492017092, 127.05433391436202]",37.44811492017092,127.05433391436202
"['127.0495633251539', '37.4533525777936', '127.04823185208443', '37.454809650804535']",135.7,4,"[37.45408111429907, 127.04889758861916]",37.45408111429907,127.04889758861916
"['128.55608887024584', '35.9017622224543', '128.55752171191216', '35.903131629073556']",11.67,3,"[35.902446925763925, 128.556805291079]",35.902446925763925,128.556805291079
"['128.5790525736908', '35.9079322425124', '128.58105164201083', '35.90799897394941']",14.06,4,"[35.90796560823091, 128.5800521078508]",35.90796560823091,128.5800521078508
"['128.54879160426293', '35.89706411997994', '128.55039288573903', '35.897395613532225']",6.15,3,"[35.89722986675608, 128.54959224500098]",35.89722986675608,128.54959224500098
"['128.55608887024584', '35.9017622224543', '128.55752171191216', '35.903131629073556']",11.67,4,"[35.902446925763925, 128.556805291079]",35.902446925763925,128.556805291079
"['128.5790525736908', '35.9079322425124', '128.58105164201083', '35.90799897394941']",14.06,4,"[35.90796560823091, 128.5800521078508]",35.90796560823091,128.5800521078508
"['128.55608887024584', '35.9017622224543', '128.55752171191216', '35.903131629073556']",11.67,4,"[35.902446925763925, 128.556805291079]",35.902446925763925,128.556805291079
"['128.5790525736908', '35.9079322425124', '128.58105164201083', '35.90799897394941']",14.06,4,"[35.90796560823091, 128.5800521078508]",35.90796560823091,128.5800521078508
"['128.54879160426293', '35.89706411997994', '128.55039288573903', '35.897395613532225']",6.15,3,"[35.89722986675608, 128.54959224500098]",35.89722986675608,128.54959224500098
"['128.55608887024584', '35.9017622224543', '128.55752171191216', '35.903131629073556']",11.67,4,"[35.902446925763925, 128.556805291079]",35.902446925763925,128.556805291079
"['128.5790525736908', '35.9079322425124', '128.58105164201083', '35.90799897394941']",14.06,4,"[35.90796560823091, 128.5800521078508]",35.90796560823091,128.5800521078508
"['128.51855807103163', '35.89384769871896', '128.51640117924305', '35.89426097427925']",5.13,3,"[35.8940543364991, 128.51747962513736]",35.8940543364991,128.51747962513736
"['128.50746216874873', '35.89490541864719', '128.50525929358315', '35.894710124604444']",6.26,3,"[35.89480777162582, 128.50636073116596]",35.89480777162582,128.50636073116596
"['128.51855807103163', '35.89384769871896', '128.51640117924305', '35.89426097427925']",5.13,3,"[35.8940543364991, 128.51747962513736]",35.8940543364991,128.51747962513736
"['128.50746216874873', '35.89490541864719', '128.50525929358315', '35.894710124604444']",6.26,3,"[35.89480777162582, 128.50636073116596]",35.89480777162582,128.50636073116596
"['127.10257833023192', '37.22430783710829', '127.10055448018728', '37.22362488622281']",12.26,4,"[37.223966361665546, 127.10156640520961]",37.223966361665546,127.10156640520961
"['127.10194532955954', '37.221952680999166', '127.10336914225452', '37.2218922120356']",263.09,4,"[37.22192244651738, 127.10265723590703]",37.22192244651738,127.10265723590703
"['127.10333926667005', '37.22199768146762', '127.10201379815116', '37.22204593099392']",6.45,3,"[37.22202180623077, 127.10267653241061]",37.22202180623077,127.10267653241061
"['127.10257833023192', '37.22430783710829', '127.10055448018728', '37.22362488622281']",13.39,4,"[37.223966361665546, 127.10156640520961]",37.223966361665546,127.10156640520961
"['127.10194532955954', '37.221952680999166', '127.10336914225452', '37.2218922120356']",287.39,4,"[37.22192244651738, 127.10265723590703]",37.22192244651738,127.10265723590703
"['127.10257833023192', '37.22430783710829', '127.10055448018728', '37.22362488622281']",13.37,4,"[37.223966361665546, 127.10156640520961]",37.223966361665546,127.10156640520961
